age_group,character,1,2,3,4,5,n
18-29,Anakin Skywalker,7.5,14.9,13.8,39.7,24.1,174
18-29,Boba Fett,5.7,17.1,23.4,27.2,26.6,158
18-29,C-3P0,1.1,5.1,15.3,31.8,46.6,176
18-29,Darth Vader,10.9,12.6,12.6,25.9,37.9,174
18-29,Emperor Palpatine,23.6,12.8,20.9,23.6,18.9,148
18-29,Han Solo,0.0,2.3,8.0,22.4,67.2,174
18-29,Jar-Jar Binks,33.1,16.6,19.5,13.6,17.2,169
18-29,Lando Calrissian,1.4,9.3,38.6,30.0,20.7,140
18-29,Luke Skywalker,0.0,4.0,6.3,39.4,50.3,175
18-29,Obi Wan Kenobi,1.2,1.2,6.9,22.0,68.8,173
18-29,Padme Amidala,6.7,11.0,22.7,31.9,27.6,163
18-29,Princess Leia Organa,0.6,4.0,6.9,33.1,55.4,175
18-29,R2-D2,0.0,2.8,8.0,26.1,63.1,176
18-29,Yoda,0.6,0.6,9.1,17.6,72.2,176
30-44,Anakin Skywalker,6.5,18.9,18.4,32.3,23.9,201
30-44,Boba Fett,3.7,13.4,32.1,24.1,26.7,187
30-44,C-3P0,0.5,4.4,7.9,34.5,52.7,203
30-44,Darth Vader,16.1,10.2,5.9,23.4,44.4,205
30-44,Emperor Palpatine,20.1,8.3,32.0,20.7,18.9,169
30-44,Han Solo,0.0,0.0,4.4,21.5,74.1,205
30-44,Jar-Jar Binks,39.9,16.0,17.0,16.5,10.6,188
30-44,Lando Calrissian,1.1,9.9,34.6,33.5,20.9,182
30-44,Luke Skywalker,0.5,1.5,3.9,27.7,66.5,206
30-44,Obi Wan Kenobi,0.5,0.5,6.4,24.1,68.5,203
30-44,Padme Amidala,8.5,10.2,31.1,24.3,26.0,177
30-44,Princess Leia Organa,0.5,0.5,6.3,28.5,64.3,207
30-44,R2-D2,1.0,1.0,6.9,22.5,68.6,204
30-44,Yoda,0.5,1.0,3.9,18.0,76.6,205
45-60,Anakin Skywalker,3.7,6.4,17.4,36.1,36.5,219
45-60,Boba Fett,9.1,11.8,46.2,22.0,10.8,186
45-60,C-3P0,1.3,1.3,8.5,24.2,64.8,236
45-60,Darth Vader,23.5,12.4,10.3,21.4,32.5,234
45-60,Emperor Palpatine,18.4,9.2,36.8,21.1,14.6,185
45-60,Han Solo,0.4,0.9,4.7,17.4,76.6,235
45-60,Jar-Jar Binks,25.6,12.1,24.1,20.6,17.6,199
45-60,Lando Calrissian,1.0,10.9,35.4,33.3,19.3,192
45-60,Luke Skywalker,0.8,0.4,4.6,22.8,71.3,237
45-60,Obi Wan Kenobi,1.3,0.9,3.4,18.9,75.5,233
45-60,Padme Amidala,1.1,8.6,33.1,32.0,25.1,175
45-60,Princess Leia Organa,1.3,0.0,5.9,22.5,70.3,236
45-60,R2-D2,0.8,0.0,7.2,20.3,71.7,237
45-60,Yoda,0.9,0.9,6.0,19.2,73.1,234
60+,Anakin Skywalker,3.1,1.9,21.1,31.7,42.2,161
60+,Boba Fett,8.9,15.6,43.7,15.6,16.3,135
60+,C-3P0,0.6,0.6,8.3,22.7,68.0,181
60+,Darth Vader,21.8,13.8,12.2,13.8,38.3,188
60+,Emperor Palpatine,14.1,12.0,39.4,19.7,14.8,142
60+,Han Solo,0.0,0.5,4.9,12.5,82.1,184
60+,Jar-Jar Binks,14.9,11.3,34.0,22.0,17.7,141
60+,Lando Calrissian,1.4,7.0,30.8,37.1,23.8,143
60+,Luke Skywalker,0.0,0.5,3.7,16.8,79.1,191
60+,Obi Wan Kenobi,0.5,1.1,4.4,13.1,80.9,183
60+,Padme Amidala,4.2,5.0,43.7,23.5,23.5,119
60+,Princess Leia Organa,0.5,1.6,4.2,18.5,75.1,189
60+,R2-D2,1.1,1.1,5.9,20.9,71.1,187
60+,Yoda,2.2,1.6,4.9,15.1,76.2,185
