education_level,character,1,2,3,4,5,n
Less than HS,Anakin Skywalker,0.0,0.0,0.0,66.7,33.3,3
Less than HS,Boba Fett,0.0,0.0,50.0,0.0,50.0,2
Less than HS,C-3P0,0.0,0.0,33.3,66.7,0.0,3
Less than HS,Darth Vader,0.0,33.3,0.0,0.0,66.7,3
Less than HS,Emperor Palpatine,33.3,0.0,0.0,0.0,66.7,3
Less than HS,Han Solo,0.0,0.0,0.0,0.0,100.0,3
Less than HS,Jar-Jar Binks,0.0,100.0,0.0,0.0,0.0,2
Less than HS,Lando Calrissian,0.0,0.0,33.3,33.3,33.3,3
Less than HS,Luke Skywalker,0.0,0.0,0.0,0.0,100.0,3
Less than HS,Obi Wan Kenobi,0.0,0.0,0.0,0.0,100.0,3
Less than HS,Padme Amidala,0.0,0.0,33.3,0.0,66.7,3
Less than HS,Princess Leia Organa,0.0,0.0,0.0,0.0,100.0,3
Less than HS,R2-D2,0.0,0.0,33.3,33.3,33.3,3
Less than HS,Yoda,0.0,0.0,0.0,33.3,66.7,3
High school,Anakin Skywalker,1.6,9.4,23.4,29.7,35.9,64
High school,Boba Fett,6.2,10.9,32.8,26.6,23.4,64
High school,C-3P0,0.0,0.0,8.8,36.8,54.4,68
High school,Darth Vader,16.2,5.9,10.3,22.1,45.6,68
High school,Emperor Palpatine,21.3,4.9,31.1,21.3,21.3,61
High school,Han Solo,0.0,0.0,13.2,23.5,63.2,68
High school,Jar-Jar Binks,23.8,7.9,31.7,22.2,14.3,63
High school,Lando Calrissian,3.3,10.0,36.7,31.7,18.3,60
High school,Luke Skywalker,0.0,0.0,7.2,31.9,60.9,69
High school,Obi Wan Kenobi,1.5,0.0,11.8,23.5,63.2,68
High school,Padme Amidala,8.2,9.8,29.5,29.5,23.0,61
High school,Princess Leia Organa,0.0,0.0,10.1,30.4,59.4,69
High school,R2-D2,0.0,0.0,9.0,32.8,58.2,67
High school,Yoda,0.0,0.0,10.3,17.6,72.1,68
Some college / Associate,Anakin Skywalker,6.7,8.4,13.4,35.3,36.1,238
Some college / Associate,Boba Fett,6.4,14.2,31.9,23.0,24.5,204
Some college / Associate,C-3P0,1.6,3.2,13.0,26.7,55.5,247
Some college / Associate,Darth Vader,14.8,10.8,12.0,20.0,42.4,250
Some college / Associate,Emperor Palpatine,14.8,12.9,29.5,24.8,18.1,210
Some college / Associate,Han Solo,0.4,0.4,5.6,17.7,75.8,248
Some college / Associate,Jar-Jar Binks,25.1,12.3,21.0,21.9,19.6,219
Some college / Associate,Lando Calrissian,1.4,6.7,35.4,33.0,23.4,209
Some college / Associate,Luke Skywalker,1.2,2.0,4.0,27.5,65.3,251
Some college / Associate,Obi Wan Kenobi,2.0,0.8,5.7,18.0,73.5,245
Some college / Associate,Padme Amidala,8.4,7.9,25.7,30.7,27.2,202
Some college / Associate,Princess Leia Organa,1.2,1.6,4.4,25.2,67.6,250
Some college / Associate,R2-D2,1.2,1.6,7.6,22.7,66.9,251
Some college / Associate,Yoda,1.2,1.2,4.1,18.8,74.7,245
Bachelor’s,Anakin Skywalker,4.2,11.4,19.0,40.1,25.3,237
Bachelor’s,Boba Fett,6.9,12.8,36.7,22.9,20.6,218
Bachelor’s,C-3P0,0.4,3.1,8.2,27.1,61.2,255
Bachelor’s,Darth Vader,19.8,12.4,9.3,26.0,32.6,258
Bachelor’s,Emperor Palpatine,20.4,10.2,33.7,20.4,15.3,196
Bachelor’s,Han Solo,0.0,0.8,3.1,19.5,76.6,256
Bachelor’s,Jar-Jar Binks,32.1,15.8,22.6,14.9,14.5,221
Bachelor’s,Lando Calrissian,0.5,12.4,32.9,32.9,21.4,210
Bachelor’s,Luke Skywalker,0.0,0.4,5.4,25.4,68.8,260
Bachelor’s,Obi Wan Kenobi,0.4,0.0,3.5,20.0,76.1,255
Bachelor’s,Padme Amidala,2.0,10.1,34.3,29.3,24.2,198
Bachelor’s,Princess Leia Organa,0.4,1.2,6.2,26.0,66.3,258
Bachelor’s,R2-D2,0.0,0.4,6.6,20.8,72.2,259
Bachelor’s,Yoda,0.8,0.8,7.8,18.2,72.5,258
Graduate,Anakin Skywalker,5.7,12.9,19.1,30.1,32.1,209
Graduate,Boba Fett,7.5,17.2,42.0,20.7,12.6,174
Graduate,C-3P0,0.9,2.3,8.2,27.9,60.7,219
Graduate,Darth Vader,21.6,15.1,9.2,17.0,37.2,218
Graduate,Emperor Palpatine,21.8,9.4,35.9,18.8,14.1,170
Graduate,Han Solo,0.0,1.4,5.5,16.8,76.4,220
Graduate,Jar-Jar Binks,32.4,14.9,23.9,16.0,12.8,188
Graduate,Lando Calrissian,1.2,8.2,36.3,36.3,18.1,171
Graduate,Luke Skywalker,0.0,2.3,3.6,24.8,69.4,222
Graduate,Obi Wan Kenobi,0.0,1.4,4.6,20.3,73.7,217
Graduate,Padme Amidala,4.2,8.4,37.3,24.1,25.9,166
Graduate,Princess Leia Organa,0.9,1.3,5.8,23.8,68.2,223
Graduate,R2-D2,1.4,1.4,5.9,20.5,70.9,220
Graduate,Yoda,1.4,0.5,4.5,15.8,77.9,222
