gender,episode,1,2,3,4,5,6,n
Male,Episode I,13.7,5.9,11.8,26.7,15.1,26.7,423
Male,Episode II,3.5,13.2,9.9,19.4,38.3,15.6,423
Male,Episode III,4.5,5.7,18.5,24.9,22.0,24.4,422
Male,Episode IV,26.5,20.8,16.1,15.1,6.1,15.4,423
Male,Episode V,35.9,27.2,13.0,6.9,13.0,4.0,423
Male,Episode VI,15.8,27.2,30.7,7.1,5.4,13.7,423
Female,Episode I,16.4,11.6,19.7,30.3,8.8,13.1,396
Female,Episode II,4.3,14.1,14.6,24.7,33.5,8.8,397
Female,Episode III,4.3,5.3,17.1,18.6,27.0,27.7,397
Female,Episode IV,22.7,11.6,14.1,15.4,12.8,23.4,397
Female,Episode V,33.0,29.0,12.8,4.5,14.6,6.0,397
Female,Episode VI,19.4,28.5,21.7,6.5,3.3,20.7,397
