household_income,episode,1,2,3,4,5,6,n
$0–24k,Episode I,14.3,10.2,12.2,27.6,14.3,21.4,98
$0–24k,Episode II,3.1,20.4,12.2,18.4,33.7,12.2,98
$0–24k,Episode III,7.1,4.1,23.5,25.5,16.3,23.5,98
$0–24k,Episode IV,21.4,18.4,19.4,15.3,13.3,12.2,98
$0–24k,Episode V,36.7,18.4,14.3,4.1,17.3,9.2,98
$0–24k,Episode VI,17.3,28.6,18.4,9.2,5.1,21.4,98
$25–49k,Episode I,16.3,14.3,18.4,24.5,10.2,16.3,147
$25–49k,Episode II,4.8,15.0,17.0,23.8,30.6,8.8,147
$25–49k,Episode III,5.4,6.8,17.7,22.4,22.4,25.2,147
$25–49k,Episode IV,17.0,12.9,17.0,16.3,15.0,21.8,147
$25–49k,Episode V,39.5,24.5,10.2,4.8,16.3,4.8,147
$25–49k,Episode VI,17.0,26.5,19.7,8.2,5.4,23.1,147
$50–99k,Episode I,17.7,4.6,12.7,30.4,11.4,23.2,237
$50–99k,Episode II,4.2,13.0,10.5,17.6,42.4,12.2,238
$50–99k,Episode III,5.0,4.2,19.7,22.3,20.2,28.6,238
$50–99k,Episode IV,26.9,18.5,13.4,16.4,9.7,15.1,238
$50–99k,Episode V,32.4,30.7,15.1,6.7,12.2,2.9,238
$50–99k,Episode VI,13.9,29.0,28.6,6.7,4.2,17.6,238
$100–149k,Episode I,14.8,6.1,16.5,33.0,10.4,19.1,115
$100–149k,Episode II,2.6,13.0,7.8,27.8,38.3,10.4,115
$100–149k,Episode III,2.6,6.1,19.3,16.7,30.7,24.6,114
$100–149k,Episode IV,27.0,16.5,8.7,13.9,5.2,28.7,115
$100–149k,Episode V,35.7,30.4,12.2,5.2,13.0,3.5,115
$100–149k,Episode VI,17.4,27.8,35.7,3.5,2.6,13.0,115
$150k+,Episode I,11.7,9.1,16.9,32.5,15.6,14.3,77
$150k+,Episode II,2.6,9.1,13.0,20.8,32.5,22.1,77
$150k+,Episode III,2.6,3.9,10.4,26.0,31.2,26.0,77
$150k+,Episode IV,31.2,23.4,9.1,11.7,3.9,20.8,77
$150k+,Episode V,39.0,29.9,11.7,1.3,15.6,2.6,77
$150k+,Episode VI,13.0,24.7,39.0,7.8,1.3,14.3,77
