age_group,episode,1,2,3,4,5,6,n
18-29,Episode I,11.7,8.3,11.1,23.3,18.3,27.2,180
18-29,Episode II,8.3,12.8,10.6,15.6,34.4,18.3,180
18-29,Episode III,10.0,10.6,12.8,27.2,18.3,21.1,180
18-29,Episode IV,21.1,21.7,22.2,16.7,8.3,10.0,180
18-29,Episode V,31.1,23.3,16.1,7.8,15.0,6.7,180
18-29,Episode VI,17.8,23.3,27.2,9.4,5.6,16.7,180
30-44,Episode I,7.2,5.3,13.5,27.5,12.1,34.3,207
30-44,Episode II,1.4,9.2,9.2,26.6,44.4,9.2,207
30-44,Episode III,3.4,3.9,14.6,24.8,26.7,26.7,206
30-44,Episode IV,27.1,23.7,16.4,10.6,6.3,15.9,207
30-44,Episode V,37.7,33.3,14.0,4.3,6.3,4.3,207
30-44,Episode VI,23.2,24.6,32.4,6.3,4.3,9.2,207
45-60,Episode I,14.2,9.6,18.3,35.0,11.7,11.2,240
45-60,Episode II,3.3,11.2,13.8,22.1,35.8,13.8,240
45-60,Episode III,2.1,3.8,19.2,18.3,26.7,30.0,240
45-60,Episode IV,29.2,12.9,12.1,13.3,8.8,23.8,240
45-60,Episode V,37.1,27.9,11.2,5.8,13.8,4.2,240
45-60,Episode VI,14.2,34.6,25.4,5.4,3.3,17.1,240
60+,Episode I,27.6,11.5,18.8,26.0,6.8,9.4,192
60+,Episode II,3.1,22.3,15.0,22.8,28.5,8.3,193
60+,Episode III,3.1,4.7,24.4,18.1,24.9,24.9,193
60+,Episode IV,19.7,7.8,10.9,21.2,14.5,25.9,193
60+,Episode V,31.1,26.9,10.9,5.2,20.7,5.2,193
60+,Episode VI,15.5,26.9,20.2,6.7,4.7,25.9,193
