census_region,episode,1,2,3,4,5,6,n
East North Central,Episode I,15.7,7.5,18.7,26.1,11.2,20.9,134
East North Central,Episode II,3.7,14.2,11.9,24.6,32.1,13.4,134
East North Central,Episode III,3.7,3.0,18.7,22.4,27.6,24.6,134
East North Central,Episode IV,22.4,17.9,14.9,12.7,10.4,21.6,134
East North Central,Episode V,36.6,28.4,14.2,5.2,13.4,2.2,134
East North Central,Episode VI,17.9,29.1,21.6,9.0,5.2,17.2,134
Pacific,Episode I,17.8,10.3,15.8,27.4,9.6,19.2,146
Pacific,Episode II,8.9,16.4,11.0,19.9,34.9,8.9,146
Pacific,Episode III,4.1,8.2,21.9,21.2,21.2,23.3,146
Pacific,Episode IV,28.1,13.7,13.7,16.4,8.9,19.2,146
Pacific,Episode V,30.8,26.7,11.6,5.5,19.2,6.2,146
Pacific,Episode VI,10.3,24.7,26.0,9.6,6.2,23.3,146
South Atlantic,Episode I,13.5,10.5,18.8,25.6,14.3,17.3,133
South Atlantic,Episode II,3.0,9.8,13.5,27.1,33.1,13.5,133
South Atlantic,Episode III,4.5,6.8,10.5,24.1,26.3,27.8,133
South Atlantic,Episode IV,22.6,12.0,18.0,15.8,12.8,18.8,133
South Atlantic,Episode V,39.8,27.8,10.5,3.0,12.0,6.8,133
South Atlantic,Episode VI,16.5,33.1,28.6,4.5,1.5,15.8,133
Middle Atlantic,Episode I,12.9,6.5,18.3,23.7,15.1,23.7,93
Middle Atlantic,Episode II,2.2,11.8,12.9,22.6,36.6,14.0,93
Middle Atlantic,Episode III,3.3,4.3,18.5,21.7,26.1,26.1,92
Middle Atlantic,Episode IV,29.0,18.3,12.9,16.1,4.3,19.4,93
Middle Atlantic,Episode V,32.3,33.3,10.8,7.5,14.0,2.2,93
Middle Atlantic,Episode VI,20.4,25.8,26.9,8.6,4.3,14.0,93
West South Central,Episode I,21.1,7.9,19.7,28.9,6.6,15.8,76
West South Central,Episode II,3.9,10.5,13.2,25.0,36.8,10.5,76
West South Central,Episode III,3.9,5.3,11.8,22.4,31.6,25.0,76
West South Central,Episode IV,21.1,11.8,15.8,11.8,10.5,28.9,76
West South Central,Episode V,31.6,38.2,7.9,7.9,7.9,6.6,76
West South Central,Episode VI,18.4,26.3,31.6,3.9,6.6,13.2,76
West North Central,Episode I,17.1,9.2,11.8,31.6,11.8,18.4,76
West North Central,Episode II,1.3,17.1,10.5,23.7,35.5,11.8,76
West North Central,Episode III,5.3,1.3,23.7,17.1,27.6,25.0,76
West North Central,Episode IV,17.1,22.4,13.2,19.7,9.2,18.4,76
West North Central,Episode V,38.2,19.7,17.1,5.3,13.2,6.6,76
West North Central,Episode VI,21.1,30.3,23.7,2.6,2.6,19.7,76
Mountain,Episode I,16.2,1.5,8.8,39.7,7.4,26.5,68
Mountain,Episode II,2.9,23.5,8.8,10.3,44.1,10.3,68
Mountain,Episode III,5.9,4.4,23.5,19.1,16.2,30.9,68
Mountain,Episode IV,25.0,20.6,17.6,16.2,10.3,10.3,68
Mountain,Episode V,26.5,25.0,17.6,10.3,14.7,5.9,68
Mountain,Episode VI,23.5,25.0,23.5,4.4,7.4,16.2,68
New England,Episode I,6.8,8.5,11.9,28.8,18.6,25.4,59
New England,Episode II,3.3,10.0,16.7,21.7,33.3,15.0,60
New England,Episode III,5.0,10.0,20.0,20.0,21.7,23.3,60
New England,Episode IV,26.7,18.3,16.7,13.3,8.3,16.7,60
New England,Episode V,38.3,23.3,11.7,6.7,15.0,5.0,60
New England,Episode VI,20.0,30.0,23.3,10.0,3.3,13.3,60
East South Central,Episode I,6.2,21.9,3.1,31.2,21.9,15.6,32
East South Central,Episode II,0.0,6.2,12.5,12.5,53.1,15.6,32
East South Central,Episode III,6.2,6.2,9.4,34.4,9.4,34.4,32
East South Central,Episode IV,34.4,18.8,9.4,15.6,6.2,15.6,32
East South Central,Episode V,37.5,28.1,21.9,0.0,9.4,3.1,32
East South Central,Episode VI,15.6,18.8,43.8,6.2,0.0,15.6,32
