,true,false,na,true_pct,false_pct,na_pct
seen_ep1_phantom_menace,673.0,513.0,0.0,0.5674536256323778,0.4325463743676223,0.0
seen_ep2_attack_clones,571.0,615.0,0.0,0.4814502529510961,0.5185497470489039,0.0
seen_ep3_revenge_sith,550.0,636.0,0.0,0.463743676222597,0.5362563237774031,0.0
seen_ep4_new_hope,607.0,579.0,0.0,0.5118043844856661,0.4881956155143339,0.0
seen_ep5_empire_strikes_back,758.0,428.0,0.0,0.6391231028667791,0.3608768971332209,0.0
seen_ep6_return_jedi,738.0,448.0,0.0,0.6222596964586846,0.3777403035413153,0.0
seen_star_wars,936.0,250.0,0.0,0.7892074198988196,0.21079258010118043,0.0
familiar_expanded_universe,213.0,615.0,358.0,0.17959527824620575,0.5185497470489039,0.30185497470489037
fan_expanded_universe,99.0,114.0,973.0,0.08347386172006746,0.09612141652613827,0.8204047217537943
fan_star_wars,552.0,284.0,350.0,0.4654300168634064,0.23946037099494097,0.2951096121416526
fan_star_trek,427.0,641.0,118.0,0.3600337268128162,0.5404721753794266,0.09949409780775717
