character,range,sd
Jar-Jar Binks,0.7429078014184398,0.32323204900625624
Anakin Skywalker,0.5981582769382894,0.2880929524569148
Boba Fett,0.4324363176355588,0.23277488996604895
Darth Vader,0.4283302063789871,0.22416014859443265
C-3P0,0.39292440984429966,0.17484811649295007
Luke Skywalker,0.3834554973821982,0.16116593895570072
Princess Leia Organa,0.2728042328042326,0.11774309357185085
Padme Amidala,0.22276029055690083,0.09364108159269498
Han Solo,0.2148925537231383,0.09078557953499611
Obi Wan Kenobi,0.1660823146656556,0.07383690867683852
Lando Calrissian,0.15971008158508182,0.0745081667187156
R2-D2,0.12593498273878012,0.055047983107213046
Yoda,0.0904101995565405,0.039988740961220015
Emperor Palpatine,0.08707820246281761,0.04108947643674907
