character,range,sd
Darth Vader,0.41972477064220204,0.20039230738689515
Jar-Jar Binks,0.36928009326726885,0.19802403350633124
Boba Fett,0.36206896551724155,0.16051562484171958
Emperor Palpatine,0.24453781512605,0.12066438018366617
Obi Wan Kenobi,0.2431372549019608,0.10512112027749322
Han Solo,0.21875,0.09856865830976921
Anakin Skywalker,0.19206040669856472,0.09928374746269225
Lando Calrissian,0.18668261562998412,0.07653551170715077
R2-D2,0.15611133521581255,0.06838391529781322
Padme Amidala,0.14456035767511155,0.06227742451756245
C-3P0,0.14414146225291713,0.07128789195233375
Luke Skywalker,0.09069119286510663,0.04812330475669232
Princess Leia Organa,0.07675310326899254,0.03692695705758061
Yoda,0.07615755290173887,0.03418774316994781
