character,range,sd
Emperor Palpatine,0.666666666666667,0.19287229239116657
Padme Amidala,0.5898039215686275,0.19361763565834747
Jar-Jar Binks,0.4745156482861401,0.1751534480307705
Darth Vader,0.40997920997921034,0.13409338532570142
Princess Leia Organa,0.37687414811449393,0.11351162171276087
C-3P0,0.3593820990458889,0.1120627067515685
Lando Calrissian,0.3569292123629113,0.11356805056895122
Anakin Skywalker,0.3295774647887324,0.10217856931088554
Boba Fett,0.32805530776092784,0.10584215582118729
Luke Skywalker,0.29545454545454586,0.08826745809068391
R2-D2,0.21057471264367855,0.07614523507010028
Obi Wan Kenobi,0.16331794732554972,0.05617684106440446
Han Solo,0.13958736299161778,0.04330172875853344
Yoda,0.1115301724137927,0.045365780439453024
