character,range,sd
Darth Vader,0.5519558300580196,0.39029171034947513
Jar-Jar Binks,0.4762282878411912,0.3367442517253652
Emperor Palpatine,0.33816462866742203,0.23911850208816487
C-3P0,0.3354065533980579,0.2371682483621743
Boba Fett,0.3096883914856261,0.21898276167424033
R2-D2,0.2683760683760683,0.18977053785690215
Anakin Skywalker,0.23812568505663112,0.16838028667823599
Padme Amidala,0.15667297846973804,0.11078452550464558
Yoda,0.12119260375565144,0.08569611194527507
Princess Leia Organa,0.06194668502852618,0.043802921055697726
Luke Skywalker,0.04869573728772103,0.03443308605102616
Lando Calrissian,0.038874747323500713,0.027488597449360944
Obi Wan Kenobi,0.008842951478611027,0.006252910956229465
Han Solo,0.002377283733216551,0.0016809934485615804
