character,range,sd
Anakin Skywalker,0.5071451947201919,0.18502818182375633
Jar-Jar Binks,0.46159267089499645,0.18386457315181914
Emperor Palpatine,0.3667711598746082,0.13335133881846778
Princess Leia Organa,0.34807017543859686,0.14727078565910842
Obi Wan Kenobi,0.3299059929494712,0.12551875137911325
Yoda,0.328331780055918,0.11806662903553282
Luke Skywalker,0.314914089347079,0.13545974724551926
Padme Amidala,0.27904616945712846,0.13585092580478642
Han Solo,0.2551981351981354,0.10035188730130397
Lando Calrissian,0.2512175324675323,0.10458237972032136
R2-D2,0.2505432215399148,0.10159003336279482
C-3P0,0.2125858123569797,0.08225847631285564
Darth Vader,0.14843657817109168,0.06200212753794078
Boba Fett,0.11505102040816295,0.045021760937949254
