census_region,character,1,2,3,4,5,n
East North Central,Anakin Skywalker,3.3,11.6,17.4,36.4,31.4,121
East North Central,Boba Fett,8.3,13.0,35.2,21.3,22.2,108
East North Central,C-3P0,0.0,2.3,8.4,28.2,61.1,131
East North Central,Darth Vader,20.6,9.2,9.9,17.6,42.7,131
East North Central,Emperor Palpatine,18.8,11.9,34.7,16.8,17.8,101
East North Central,Han Solo,0.0,0.0,4.5,19.7,75.8,132
East North Central,Jar-Jar Binks,29.6,13.0,23.5,18.3,15.7,115
East North Central,Lando Calrissian,1.9,9.4,30.2,34.0,24.5,106
East North Central,Luke Skywalker,0.0,0.0,3.8,27.1,69.2,133
East North Central,Obi Wan Kenobi,0.0,0.0,3.1,20.5,76.4,127
East North Central,Padme Amidala,5.8,9.7,35.9,26.2,22.3,103
East North Central,Princess Leia Organa,0.8,0.0,3.8,25.8,69.7,132
East North Central,R2-D2,0.0,0.0,6.8,24.2,68.9,132
East North Central,Yoda,0.0,1.5,6.8,12.9,78.8,132
Pacific,Anakin Skywalker,3.1,10.7,18.3,34.4,33.6,131
Pacific,Boba Fett,4.4,13.3,41.6,21.2,19.5,113
Pacific,C-3P0,1.4,5.6,12.0,28.2,52.8,142
Pacific,Darth Vader,13.5,12.1,14.9,21.3,38.3,141
Pacific,Emperor Palpatine,16.4,8.2,43.6,20.9,10.9,110
Pacific,Han Solo,0.0,0.7,10.6,16.3,72.3,141
Pacific,Jar-Jar Binks,28.7,14.8,25.4,13.1,18.0,122
Pacific,Lando Calrissian,0.9,8.0,40.2,32.1,18.8,112
Pacific,Luke Skywalker,0.0,3.5,7.7,28.7,60.1,143
Pacific,Obi Wan Kenobi,0.0,1.4,7.1,22.0,69.5,141
Pacific,Padme Amidala,4.5,8.2,34.5,28.2,24.5,110
Pacific,Princess Leia Organa,0.0,2.8,10.6,27.5,59.2,142
Pacific,R2-D2,0.7,0.7,7.7,24.6,66.2,142
Pacific,Yoda,0.7,0.0,6.4,22.0,70.9,141
South Atlantic,Anakin Skywalker,8.3,6.6,19.0,34.7,31.4,121
South Atlantic,Boba Fett,5.6,9.3,38.9,28.7,17.6,108
South Atlantic,C-3P0,0.0,2.3,8.6,28.9,60.2,128
South Atlantic,Darth Vader,17.4,10.6,7.6,28.0,36.4,132
South Atlantic,Emperor Palpatine,15.9,11.2,25.2,22.4,25.2,107
South Atlantic,Han Solo,0.0,0.8,3.8,19.2,76.2,130
South Atlantic,Jar-Jar Binks,30.4,8.9,26.8,19.6,14.3,112
South Atlantic,Lando Calrissian,0.0,7.7,36.5,33.7,22.1,104
South Atlantic,Luke Skywalker,0.8,0.8,2.3,25.0,71.2,132
South Atlantic,Obi Wan Kenobi,0.8,0.0,7.0,21.1,71.1,128
South Atlantic,Padme Amidala,5.9,11.8,31.4,29.4,21.6,102
South Atlantic,Princess Leia Organa,0.8,0.8,3.8,23.7,71.0,131
South Atlantic,R2-D2,0.8,1.5,5.3,22.9,69.5,131
South Atlantic,Yoda,1.6,0.0,5.5,25.0,68.0,128
Middle Atlantic,Anakin Skywalker,5.8,12.8,14.0,32.6,34.9,86
Middle Atlantic,Boba Fett,11.8,13.2,36.8,19.7,18.4,76
Middle Atlantic,C-3P0,3.3,2.2,11.0,25.3,58.2,91
Middle Atlantic,Darth Vader,21.5,11.8,9.7,16.1,40.9,93
Middle Atlantic,Emperor Palpatine,26.2,5.0,27.5,25.0,16.2,80
Middle Atlantic,Han Solo,1.1,1.1,2.2,23.1,72.5,91
Middle Atlantic,Jar-Jar Binks,35.7,15.5,13.1,20.2,15.5,84
Middle Atlantic,Lando Calrissian,2.6,9.0,30.8,42.3,15.4,78
