gender,character,1,2,3,4,5,n
Male,Anakin Skywalker,5.6,12.8,18.9,35.8,26.9,391
Male,Boba Fett,5.4,13.2,33.3,23.7,24.5,372
Male,C-3P0,1.5,4.1,12.1,33.3,49.0,412
Male,Darth Vader,13.4,10.2,9.2,22.4,44.8,411
Male,Emperor Palpatine,16.5,10.3,28.8,24.3,20.1,358
Male,Han Solo,0.2,1.0,5.1,18.4,75.3,413
Male,Jar-Jar Binks,35.8,14.8,21.0,15.9,12.6,372
Male,Lando Calrissian,1.1,9.4,32.7,36.6,20.2,361
Male,Luke Skywalker,0.2,1.9,5.5,25.9,66.4,417
Male,Obi Wan Kenobi,0.7,1.0,4.4,21.7,72.1,405
Male,Padme Amidala,6.4,9.9,30.9,29.7,23.0,343
Male,Princess Leia Organa,0.7,1.2,6.5,27.6,63.9,416
Male,R2-D2,1.0,1.7,9.2,28.3,59.9,414
Male,Yoda,1.2,1.0,6.6,21.3,69.9,409
Female,Anakin Skywalker,4.7,8.5,16.2,34.1,36.5,364
Female,Boba Fett,8.5,15.6,40.1,21.1,14.6,294
Female,C-3P0,0.3,1.3,7.3,22.7,68.5,384
Female,Darth Vader,23.8,14.4,11.0,19.7,31.0,390
Female,Emperor Palpatine,22.4,10.5,37.1,17.5,12.6,286
Female,Han Solo,0.0,0.8,5.7,18.4,75.1,385
Female,Jar-Jar Binks,21.5,13.2,25.5,20.6,19.1,325
Female,Lando Calrissian,1.4,9.5,37.5,29.7,22.0,296
Female,Luke Skywalker,0.5,1.0,3.6,26.5,68.4,392
Female,Obi Wan Kenobi,1.0,0.8,5.9,17.3,74.9,387
Female,Padme Amidala,3.8,7.9,33.0,26.5,28.9,291
Female,Princess Leia Organa,0.8,1.5,5.1,23.0,69.6,391
Female,R2-D2,0.5,0.5,4.6,15.9,78.5,390
Female,Yoda,0.8,1.0,5.1,13.8,79.3,391
