household_income,character,1,2,3,4,5,n
$0–24k,Anakin Skywalker,9.0,13.5,22.5,30.3,24.7,89
$0–24k,Boba Fett,11.2,13.8,33.8,20.0,21.2,80
$0–24k,C-3P0,3.2,3.2,12.6,27.4,53.7,95
$0–24k,Darth Vader,20.2,5.3,13.8,23.4,37.2,94
$0–24k,Emperor Palpatine,25.8,12.1,25.8,18.2,18.2,66
$0–24k,Han Solo,1.1,0.0,5.3,25.5,68.1,94
$0–24k,Jar-Jar Binks,32.9,13.4,23.2,18.3,12.2,82
$0–24k,Lando Calrissian,2.6,11.7,39.0,29.9,16.9,77
$0–24k,Luke Skywalker,1.0,4.1,8.2,27.8,58.8,97
$0–24k,Obi Wan Kenobi,1.1,2.2,7.6,27.2,62.0,92
$0–24k,Padme Amidala,8.2,12.3,34.2,19.2,26.0,73
$0–24k,Princess Leia Organa,1.1,4.2,13.7,25.3,55.8,95
$0–24k,R2-D2,1.0,0.0,9.4,27.1,62.5,96
$0–24k,Yoda,1.0,2.1,5.2,17.7,74.0,96
$25–49k,Anakin Skywalker,6.8,9.8,18.2,39.4,25.8,132
$25–49k,Boba Fett,4.9,13.8,40.7,22.0,18.7,123
$25–49k,C-3P0,0.0,2.1,15.3,30.6,52.1,144
$25–49k,Darth Vader,17.8,8.9,11.6,25.3,36.3,146
$25–49k,Emperor Palpatine,12.9,9.5,34.5,23.3,19.8,116
$25–49k,Han Solo,0.0,1.4,9.8,23.1,65.7,143
$25–49k,Jar-Jar Binks,20.2,14.0,31.8,16.3,17.8,129
$25–49k,Lando Calrissian,0.0,11.1,36.8,32.5,19.7,117
$25–49k,Luke Skywalker,0.7,0.7,7.5,34.9,56.2,146
$25–49k,Obi Wan Kenobi,0.7,0.0,8.5,24.8,66.0,141
$25–49k,Padme Amidala,7.7,11.1,30.8,30.8,19.7,117
$25–49k,Princess Leia Organa,1.4,0.7,7.6,31.0,59.3,145
$25–49k,R2-D2,0.7,0.7,14.5,24.1,60.0,145
$25–49k,Yoda,0.7,2.1,11.0,22.1,64.1,145
$50–99k,Anakin Skywalker,4.5,10.8,20.3,28.8,35.6,222
$50–99k,Boba Fett,5.1,14.3,37.2,24.5,18.9,196
$50–99k,C-3P0,0.4,3.0,7.0,28.7,60.9,230
$50–99k,Darth Vader,19.0,13.9,9.1,18.6,39.4,231
$50–99k,Emperor Palpatine,19.5,8.2,35.9,21.5,14.9,195
$50–99k,Han Solo,0.0,1.3,4.3,15.6,78.8,231
$50–99k,Jar-Jar Binks,30.7,15.6,23.1,16.1,14.6,199
$50–99k,Lando Calrissian,2.0,7.1,31.1,37.8,21.9,196
$50–99k,Luke Skywalker,0.4,0.9,3.4,23.4,71.9,235
$50–99k,Obi Wan Kenobi,1.7,0.4,3.5,17.0,77.4,230
$50–99k,Padme Amidala,2.7,9.1,30.6,30.6,26.9,186
$50–99k,Princess Leia Organa,0.9,1.3,3.4,21.7,72.8,235
$50–99k,R2-D2,0.9,1.7,3.4,21.4,72.6,234
$50–99k,Yoda,1.3,0.4,3.4,19.8,75.0,232
$100–149k,Anakin Skywalker,1.0,8.7,12.6,45.6,32.0,103
$100–149k,Boba Fett,6.1,17.3,36.7,14.3,25.5,98
$100–149k,C-3P0,0.9,0.0,11.6,36.6,50.9,112
$100–149k,Darth Vader,9.7,19.5,9.7,23.0,38.1,113
$100–149k,Emperor Palpatine,14.3,13.2,31.9,27.5,13.2,91
$100–149k,Han Solo,0.0,0.9,4.4,21.2,73.5,113
$100–149k,Jar-Jar Binks,29.0,10.0,24.0,20.0,17.0,100
$100–149k,Lando Calrissian,0.0,8.3,34.4,34.4,22.9,96
$100–149k,Luke Skywalker,0.0,0.9,3.5,28.9,66.7,114
$100–149k,Obi Wan Kenobi,0.0,0.9,6.1,20.2,72.8,114
$100–149k,Padme Amidala,2.5,6.2,35.8,29.6,25.9,81
$100–149k,Princess Leia Organa,0.0,0.0,4.3,32.2,63.5,115
$100–149k,R2-D2,1.8,0.0,7.0,26.3,64.9,114
$100–149k,Yoda,0.9,0.0,7.1,20.5,71.4,112
$150k+,Anakin Skywalker,5.5,11.0,19.2,31.5,32.9,73
$150k+,Boba Fett,7.8,14.1,34.4,25.0,18.8,64
$150k+,C-3P0,1.4,5.4,4.1,28.4,60.8,74
$150k+,Darth Vader,22.7,9.3,8.0,20.0,40.0,75
$150k+,Emperor Palpatine,14.5,9.7,43.5,14.5,17.7,62
$150k+,Han Solo,0.0,0.0,2.7,16.0,81.3,75
$150k+,Jar-Jar Binks,34.8,18.2,15.2,24.2,7.6,66
$150k+,Lando Calrissian,1.6,9.8,39.3,29.5,19.7,61
$150k+,Luke Skywalker,0.0,0.0,4.0,21.3,74.7,75
$150k+,Obi Wan Kenobi,0.0,0.0,1.4,17.6,81.1,74
$150k+,Padme Amidala,6.2,6.2,35.9,29.7,21.9,64
$150k+,Princess Leia Organa,1.3,1.3,4.0,17.3,76.0,75
$150k+,R2-D2,0.0,1.4,2.7,23.3,72.6,73
$150k+,Yoda,0.0,0.0,2.7,14.9,82.4,74
