character,character_cluster,mean_rating,n_ratings
Boba Fett,1,3.3573529411764707,2826
Darth Vader,1,3.4791666666666665,2826
Emperor Palpatine,1,3.0714285714285716,2826
Lando Calrissian,1,3.636904761904762,2826
C-3P0,2,4.403940886699507,5718
Han Solo,2,4.671990171990172,5718
Luke Skywalker,2,4.580606060606061,5718
Obi Wan Kenobi,2,4.632425742574258,5718
Princess Leia Organa,2,4.555285540704738,5718
R2-D2,2,4.569512195121951,5718
Yoda,2,4.629901960784314,5718
Anakin Skywalker,3,3.775616083009079,2133
Jar-Jar Binks,3,2.7808988764044944,2133
Padme Amidala,3,3.6046153846153848,2133
