,Han Solo,Luke Skywalker,Princess Leia Organa,Anakin Skywalker,Obi Wan Kenobi,Emperor Palpatine,Darth Vader,Lando Calrissian,Boba Fett,C-3P0,R2-D2,Jar-Jar Binks,Padme Amidala,Yoda
Han Solo,1.0,0.5815260413580646,0.5550256715530743,0.1852448113212086,0.5202711593469906,0.10301859962138522,0.15510494577145367,0.320726824286444,0.16844639835299025,0.4222902127720485,0.43701867823389035,-0.05615874221133229,0.12292989615188958,0.40987511847799313
Luke Skywalker,0.5815260413580646,1.0,0.6813346510284845,0.28925700580922786,0.5359903522353432,0.08358838747446923,0.06402118839548812,0.21399449738966425,0.06093212978566833,0.5025452822018572,0.48135143538015723,0.1110273561700473,0.21147160072729956,0.44526388688661656
Princess Leia Organa,0.5550256715530743,0.6813346510284845,1.0,0.27974041452824794,0.5170696312333277,0.09807481981850397,0.10764648335292021,0.2637536395267007,0.10791511583349687,0.5009039461179208,0.480875527485716,0.07576027889146107,0.23951392104279579,0.44029062781912376
Anakin Skywalker,0.1852448113212086,0.28925700580922786,0.27974041452824794,1.0,0.2976319572401255,0.24313514372501263,0.11643110609830122,0.1605165832513833,0.09061229640019704,0.25943604689389654,0.27671631538206876,0.32640636421053726,0.38806115233006233,0.26466130709902413
Obi Wan Kenobi,0.5202711593469906,0.5359903522353432,0.5170696312333277,0.2976319572401255,1.0,0.112986333766953,0.1268139330374698,0.23047122398015657,0.12415044100999464,0.4467993514735053,0.5236516705809313,0.021296937331223762,0.2301909474944107,0.4965915412163285
Emperor Palpatine,0.10301859962138522,0.08358838747446923,0.09807481981850397,0.24313514372501263,0.112986333766953,1.0,0.5320666343673743,0.32119278868405265,0.4822779609847452,0.09889331478505381,0.04946502021513725,0.1317056014702613,0.08411033581238142,0.0030273905572127053
Darth Vader,0.15510494577145367,0.06402118839548812,0.10764648335292021,0.11643110609830122,0.1268139330374698,0.5320666343673743,1.0,0.298870196296621,0.5082791236911346,0.017044477908964323,0.050280209585344175,-0.061729028122560876,-0.039753455435152976,0.05123766543242199
Lando Calrissian,0.320726824286444,0.21399449738966425,0.2637536395267007,0.1605165832513833,0.23047122398015657,0.32119278868405265,0.298870196296621,1.0,0.40880332367272393,0.21679282382445875,0.22257775729629967,0.07443553006878718,0.14758728128565957,0.23075087690290433
Boba Fett,0.16844639835299025,0.06093212978566833,0.10791511583349687,0.09061229640019704,0.12415044100999464,0.4822779609847452,0.5082791236911346,0.40880332367272393,1.0,0.05475727337490102,0.09181468631211553,0.029948751039255116,0.04607113140648504,0.04817982996429818
C-3P0,0.4222902127720485,0.5025452822018572,0.5009039461179208,0.25943604689389654,0.4467993514735053,0.09889331478505381,0.017044477908964323,0.21679282382445875,0.05475727337490102,1.0,0.7119399934625137,0.23175239003061457,0.24849873013888674,0.4403211294298019
R2-D2,0.43701867823389035,0.48135143538015723,0.480875527485716,0.27671631538206876,0.5236516705809313,0.04946502021513725,0.050280209585344175,0.22257775729629967,0.09181468631211553,0.7119399934625137,1.0,0.15360513501156553,0.22096905179808715,0.49779595542769517
Jar-Jar Binks,-0.05615874221133229,0.1110273561700473,0.07576027889146107,0.32640636421053726,0.021296937331223762,0.1317056014702613,-0.061729028122560876,0.07443553006878718,0.029948751039255116,0.23175239003061457,0.15360513501156553,1.0,0.3950236298722413,0.09658501778857789
Padme Amidala,0.12292989615188958,0.21147160072729956,0.23951392104279579,0.38806115233006233,0.2301909474944107,0.08411033581238142,-0.039753455435152976,0.14758728128565957,0.04607113140648504,0.24849873013888674,0.22096905179808715,0.3950236298722413,1.0,0.31759430987370163
Yoda,0.40987511847799313,0.44526388688661656,0.44029062781912376,0.26466130709902413,0.4965915412163285,0.0030273905572127053,0.05123766543242199,0.23075087690290433,0.04817982996429818,0.4403211294298019,0.49779595542769517,0.09658501778857789,0.31759430987370163,1.0
