component,eigenvalue,variance_explained,cumulative_variance
1,3.0337795548516198,0.3367077617775751,0.3367077617775751
2,1.226886864332855,0.1361675502701539,0.47287531204772904
3,0.9196581133807191,0.1020693888129767,0.5749447008607057
4,0.5456776361915122,0.06056270477539964,0.6355074056361053
5,0.48594478813355996,0.05393318103758252,0.6894405866736878
6,0.47134837126567364,0.052313179727434975,0.7417537664011228
7,0.38057872954813227,0.04223899920525773,0.7839927656063805
8,0.33636106833317386,0.037331447595280606,0.8213242132016612
9,0.3193181458427349,0.035439917844304655,0.8567641310459658
10,0.3037113714474443,0.03370778075912911,0.890471911805095
11,0.29952726288355835,0.033243402314977674,0.9237153141200727
12,0.2876213611327034,0.03192201114004435,0.955637325260117
13,0.2130450794096364,0.023645070628492942,0.97928239588861
14,0.1866682355251579,0.020717604111390103,1.0
