,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Han Solo,0.33753703239213745,0.01229420401522024,-0.3086488855966009,-0.19077249461549023,-0.027386258821181873,0.23749198296339386,0.08601463805417066,0.053384231576489784,-0.043568514308749626,0.6335516084695365,-0.005714575762762358,0.5175554678430037,-0.12417865744341364,0.015999002368767005
Luke Skywalker,0.3705994983590678,-0.1097133009819606,-0.13359082240530262,-0.2889983393935312,-0.31077964049211854,0.16398635388272206,-0.1475332577811888,-0.06150710555942042,-0.09115214213119457,-0.2262408035987185,0.03385653637245027,-0.04138128518885889,0.7329680582630176,0.025165363687804747
Princess Leia Organa,0.3692205766475684,-0.06485834495039859,-0.13958334881154832,-0.2565888571800421,-0.26856790130037067,0.20706320342553602,-0.1525118819404517,-0.17579137422299768,0.22244951433168636,-0.31506169901062875,0.08875144423103742,-0.22943488785674943,-0.6191127818388173,0.11142869874932096
Anakin Skywalker,0.21419549972904217,0.07516955525155748,0.45902152177372707,-0.40825014656412756,-0.02443420307399305,-0.34493636041453035,0.5806625545315895,-0.20435938260156902,0.002165833244474542,0.02422804414074619,0.2541759995094958,0.03736930803221343,-0.007049497695291923,-0.07712143311646832
Obi Wan Kenobi,0.3490910410028971,-0.04098330768844412,-0.12795366227778315,-0.15214922345358511,0.21346123266801995,-0.24713236665793434,0.04335466292517803,0.6382749632480353,-0.3310557413707744,0.02523204429582651,-0.18118106161626285,-0.3881923983705882,-0.1002906353345383,-0.1311752299599738
Emperor Palpatine,0.0921113918589476,0.4818669481079758,0.13100457395961604,-0.0004945660417643716,-0.21320440783665343,-0.11435064142373945,0.03070521054313305,0.14418163291630856,-0.0434341406093402,-0.3513405362401709,-0.568754942191671,0.42683269668624474,-0.06636642138113572,0.1627710563529307
Darth Vader,0.09635156482013638,0.5830243992197509,-0.11730809668486572,-0.03398311965724063,-0.05953668028694349,-0.38041943633709063,-0.37898716602184496,-0.3147510432814951,0.0790670094230241,0.3645267178949741,-0.007879736985874537,-0.3142215539286421,0.06760658321575179,-0.0491994254257997
Lando Calrissian,0.17106147558235738,0.3167296927031836,-0.008235150427416106,0.17507632318955027,0.3145500176649523,0.5612514149750277,0.4080693428862916,-0.2636296589650518,-0.10114391894173166,0.0052884131427320125,-0.24029602507330936,-0.34026275954308866,0.07706784568913462,0.0040309904357284185
Boba Fett,0.09516451941533612,0.5000034898427648,-0.024469481479962935,0.1662923860727689,0.07912710622373398,0.1792715697712221,-0.03373597981831858,0.3656603233042289,0.0557496122312041,-0.22007128070452447,0.673789297590049,0.15318822162543647,0.02510027209241695,-0.09907203365919076
C-3P0,0.35051618249219935,-0.13970148861410728,0.06553360403857203,0.5105408265696584,-0.26017204946678807,-0.08808257949805828,0.07286557322063722,-0.04532696188732049,0.21685732748593275,0.006120572446797354,-0.11278079747231864,0.05026038841875613,-0.0047652413718553555,-0.6689771784811873
R2-D2,0.3601795486402617,-0.1304168331621395,0.00633068158439104,0.5056811310419437,-0.05089120419716453,-0.23966931406578326,0.14717688206880317,0.0373321130183006,0.12529926903753894,0.08889303345458002,0.10913564064228824,-0.06299918145084692,0.07460307843960981,0.6851099620120286
Jar-Jar Binks,0.08914707817491463,-0.017854486220514516,0.6212805016215369,0.12730122629145735,-0.2594098438382273,0.2522235036526305,-0.32074014037114096,0.006907097955748158,-0.5331080402358322,0.21236053191056414,0.07337640088767025,-0.05254092001715243,-0.12369199944803838,0.054417920333755504
Padme Amidala,0.15491193856049118,-0.038291756643505474,0.46732934913907975,-0.17076626082806332,0.32559842022003777,0.17456976934857038,-0.2704430103836373,0.2360357226983784,0.6311635768219617,0.13960064064587774,-0.16200602393222197,-0.017490205378558495,0.12484223417543025,0.04054299324750996
Yoda,0.32254364651399536,-0.1246220454913203,0.004698399700258579,0.0569066917549485,0.6217586392252191,-0.1718943856319018,-0.3054669277265639,-0.3619851991400431,-0.2528474078616692,-0.26388619947195263,0.044425531294270154,0.3097831242696004,-0.04371148056567911,-0.05728907723360147
