character,cluster,mean_rating,mean_rating_overall,deviation
Anakin Skywalker,1,4.014760147601476,3.7873371179328585,0.22742302966861727
Boba Fett,1,3.5569105691056913,3.2433445363784017,0.31356603272728956
C-3P0,1,4.106529209621993,4.433263192761863,-0.3267339831398699
Darth Vader,1,3.9518900343642613,3.3194454828487907,0.6324445515154706
Emperor Palpatine,1,3.60352422907489,2.9563906462553065,0.6471335828195834
Han Solo,1,4.318339100346021,4.674508694481875,-0.3561695941358538
Jar-Jar Binks,1,3.5,2.848852732582395,0.6511472674176049
Lando Calrissian,1,3.6493506493506493,3.618148141371704,0.031202507978945526
Luke Skywalker,1,4.294915254237288,4.591190712982619,-0.2962754587453311
Obi Wan Kenobi,1,4.267361111111111,4.64477773196506,-0.3774166208539489
Padme Amidala,1,3.8161434977578477,3.6952847079812687,0.12085878977657893
Princess Leia Organa,1,4.23469387755102,4.567163928508466,-0.3324700509574461
R2-D2,1,4.341296928327645,4.5908212147825935,-0.24952428645494873
Yoda,1,4.460207612456747,4.6495131042739795,-0.18930549181723233
Anakin Skywalker,2,3.5382059800664454,3.7873371179328585,-0.24913113786641317
Boba Fett,2,3.647482014388489,3.2433445363784017,0.4041374780100875
C-3P0,2,4.4375,4.433263192761863,0.004236807238137352
Darth Vader,2,4.294117647058823,3.3194454828487907,0.9746721642100327
Emperor Palpatine,2,3.187725631768953,2.9563906462553065,0.23133498551364662
Han Solo,2,4.932038834951456,4.674508694481875,0.2575301404695809
Jar-Jar Binks,2,1.8936170212765957,2.848852732582395,-0.9552357113057994
Lando Calrissian,2,3.711191335740072,3.618148141371704,0.09304319436836828
Luke Skywalker,2,4.741100323624596,4.591190712982619,0.14990961064197705
Obi Wan Kenobi,2,4.839869281045751,4.64477773196506,0.1950915490806917
Padme Amidala,2,3.1213235294117645,3.6952847079812687,-0.5739611785695042
Princess Leia Organa,2,4.733766233766234,4.567163928508466,0.16660230525776765
R2-D2,2,4.599348534201955,4.5908212147825935,0.008527319419361135
Yoda,2,4.621359223300971,4.6495131042739795,-0.02815388097300886
Anakin Skywalker,3,3.809045226130653,3.7873371179328585,0.021708108197794562
Boba Fett,3,2.5256410256410255,3.2433445363784017,-0.7177035107373761
C-3P0,3,4.755760368663594,4.433263192761863,0.32249717590173166
Darth Vader,3,1.7123287671232876,3.3194454828487907,-1.607116715725503
Emperor Palpatine,3,2.0779220779220777,2.9563906462553065,-0.8784685683332287
Han Solo,3,4.773148148148148,4.674508694481875,0.09863945366627291
Jar-Jar Binks,3,3.152941176470588,2.848852732582395,0.304088443888193
Lando Calrissian,3,3.4939024390243905,3.618148141371704,-0.12424570234731336
Luke Skywalker,3,4.737556561085973,4.591190712982619,0.14636584810335407
Obi Wan Kenobi,3,4.827102803738318,4.64477773196506,0.18232507177325807
Padme Amidala,3,4.148387096774194,3.6952847079812687,0.45310238879292486
Princess Leia Organa,3,4.733031674208145,4.567163928508466,0.16586774569967844
R2-D2,3,4.831818181818182,4.5908212147825935,0.24099696703558848
Yoda,3,4.86697247706422,4.6495131042739795,0.2174593727902403
