character,cluster,mean_rating
Anakin Skywalker,1,4.014760147601476
Boba Fett,1,3.5569105691056913
C-3P0,1,4.106529209621993
Darth Vader,1,3.9518900343642613
Emperor Palpatine,1,3.60352422907489
Han Solo,1,4.318339100346021
Jar-Jar Binks,1,3.5
Lando Calrissian,1,3.6493506493506493
Luke Skywalker,1,4.294915254237288
Obi Wan Kenobi,1,4.267361111111111
Padme Amidala,1,3.8161434977578477
Princess Leia Organa,1,4.23469387755102
R2-D2,1,4.341296928327645
Yoda,1,4.460207612456747
Anakin Skywalker,2,3.5382059800664454
Boba Fett,2,3.647482014388489
C-3P0,2,4.4375
Darth Vader,2,4.294117647058823
Emperor Palpatine,2,3.187725631768953
Han Solo,2,4.932038834951456
Jar-Jar Binks,2,1.8936170212765957
Lando Calrissian,2,3.711191335740072
Luke Skywalker,2,4.741100323624596
Obi Wan Kenobi,2,4.839869281045751
Padme Amidala,2,3.1213235294117645
Princess Leia Organa,2,4.733766233766234
R2-D2,2,4.599348534201955
Yoda,2,4.621359223300971
Anakin Skywalker,3,3.809045226130653
Boba Fett,3,2.5256410256410255
C-3P0,3,4.755760368663594
Darth Vader,3,1.7123287671232876
Emperor Palpatine,3,2.0779220779220777
Han Solo,3,4.773148148148148
Jar-Jar Binks,3,3.152941176470588
Lando Calrissian,3,3.4939024390243905
Luke Skywalker,3,4.737556561085973
Obi Wan Kenobi,3,4.827102803738318
Padme Amidala,3,4.148387096774194
Princess Leia Organa,3,4.733031674208145
R2-D2,3,4.831818181818182
Yoda,3,4.86697247706422
