character,1 (Narrative Pluralists),2 (Canon Boundary Defenders),3 (Moral Boundary Enforcers)
Anakin Skywalker,4.014760147601476,3.5382059800664454,3.809045226130653
Boba Fett,3.5569105691056913,3.647482014388489,2.5256410256410255
C-3P0,4.106529209621993,4.4375,4.755760368663594
Darth Vader,3.9518900343642613,4.294117647058823,1.7123287671232876
Emperor Palpatine,3.60352422907489,3.187725631768953,2.0779220779220777
Han Solo,4.318339100346021,4.932038834951456,4.773148148148148
Jar-Jar Binks,3.5,1.8936170212765957,3.152941176470588
Lando Calrissian,3.6493506493506493,3.711191335740072,3.4939024390243905
Luke Skywalker,4.294915254237288,4.741100323624596,4.737556561085973
Obi Wan Kenobi,4.267361111111111,4.839869281045751,4.827102803738318
Padme Amidala,3.8161434977578477,3.1213235294117645,4.148387096774194
Princess Leia Organa,4.23469387755102,4.733766233766234,4.733031674208145
R2-D2,4.341296928327645,4.599348534201955,4.831818181818182
Yoda,4.460207612456747,4.621359223300971,4.86697247706422
