character,attached_cluster,attached_cluster_label,attachment_strength
Anakin Skywalker,1,Power & Ambiguity Bloc,4.014760147601476
Boba Fett,2,Heroic Core,3.647482014388489
C-3P0,3,Prequel Identity Bloc,4.755760368663594
Darth Vader,2,Heroic Core,4.294117647058823
Emperor Palpatine,1,Power & Ambiguity Bloc,3.60352422907489
Han Solo,2,Heroic Core,4.932038834951456
Jar-Jar Binks,1,Power & Ambiguity Bloc,3.5
Lando Calrissian,2,Heroic Core,3.711191335740072
Luke Skywalker,2,Heroic Core,4.741100323624596
Obi Wan Kenobi,2,Heroic Core,4.839869281045751
Padme Amidala,3,Prequel Identity Bloc,4.148387096774194
Princess Leia Organa,2,Heroic Core,4.733766233766234
R2-D2,3,Prequel Identity Bloc,4.831818181818182
Yoda,3,Prequel Identity Bloc,4.86697247706422
