character,ideology_axis_1,ideology_axis_2,character_ideology_quadrant,attached_audience_cluster,attachment_strength,audience_rating_range,audience_rating_std,character_bridge_index,audience_variance
Darth Vader,-1.6308467793278123,1.460900976676251,Q3,2,4.294117647058823,2.5817888799355355,1.402283151933268,-1.5817888799355355,1.9663980381959005
Jar-Jar Binks,-1.859194922900127,-1.3650624033047278,Q4,1,3.5,1.6063829787234043,0.8452626247876022,-0.6063829787234043,0.7144689048628267
Emperor Palpatine,-2.0101364122916,0.31241836597907247,Q3,1,3.60352422907489,1.5256021511528122,0.7886712797753391,-0.5256021511528122,0.6220023875424712
Boba Fett,-1.4101986022934556,0.42322430222203256,Q3,2,3.647482014388489,1.1218409887474636,0.6231970343869748,-0.12184098874746363,0.38837454366872026
Padme Amidala,-0.3184155024522036,-0.9015103710766477,Q4,3,4.148387096774194,1.027063567362429,0.524089713837721,-0.027063567362429097,0.27467002815050423
C-3P0,0.9494547366756255,-0.14708378584265067,Q2,3,4.755760368663594,0.6492311590416016,0.3246363155429552,0.35076884095839844,0.10538873736930518
Han Solo,1.2784444313886634,0.26948487560759704,Q1,2,4.932038834951456,0.6136997346054347,0.31851867673400386,0.3863002653945653,0.10145414742838085
Obi Wan Kenobi,1.2608669638877044,0.15770794529366267,Q1,2,4.839869281045751,0.5725081699346406,0.3269147060141537,0.4274918300653594,0.10687322500832053
Princess Leia Organa,1.1199621974133644,0.12160713058739064,Q1,2,4.733766233766234,0.49907235621521373,0.28792774437725027,0.5009276437847863,0.08290238598217119
R2-D2,1.1521013461830303,-0.03112539564181848,Q2,3,4.831818181818182,0.4905212534905372,0.24537178202442478,0.5094787465094628,0.06020731141384182
Anakin Skywalker,-0.3235117630620598,-0.3452140333176526,Q4,1,4.014760147601476,0.47655416753503044,0.2390175728265536,0.5234458324649696,0.057129400119896846
Luke Skywalker,1.141384570233659,0.1322152910713621,Q1,2,4.741100323624596,0.4461850693873082,0.25658819176708003,0.5538149306126918,0.06583750015429984
Yoda,1.219715061854578,-0.019088798788062064,Q2,3,4.86697247706422,0.40676486460747263,0.2048387036918698,0.5932351353925274,0.04195889453016563
Lando Calrissian,-0.5696253253093554,-0.06847409946579863,Q4,2,3.711191335740072,0.21728889671568163,0.11195451548334999,0.7827111032843184,0.012533813537111653
