character,Core Hero ↔ Controversial Character,Moral Complexity ↔ Narrative Reception,ideology_quadrant
Anakin Skywalker,-0.3235117630620598,-0.3452140333176526,Peripheral Controversies
Boba Fett,-1.4101986022934556,0.42322430222203256,Dark Icons
C-3P0,0.9494547366756255,-0.14708378584265067,Narrative Anchors
Darth Vader,-1.6308467793278123,1.460900976676251,Dark Icons
Emperor Palpatine,-2.0101364122916,0.31241836597907247,Dark Icons
Han Solo,1.2784444313886634,0.26948487560759704,Mythic Pillars
Jar-Jar Binks,-1.859194922900127,-1.3650624033047278,Peripheral Controversies
Lando Calrissian,-0.5696253253093554,-0.06847409946579863,Peripheral Controversies
Luke Skywalker,1.141384570233659,0.1322152910713621,Mythic Pillars
Obi Wan Kenobi,1.2608669638877044,0.15770794529366267,Mythic Pillars
Padme Amidala,-0.3184155024522036,-0.9015103710766477,Peripheral Controversies
Princess Leia Organa,1.1199621974133644,0.12160713058739064,Mythic Pillars
R2-D2,1.1521013461830303,-0.03112539564181848,Narrative Anchors
Yoda,1.219715061854578,-0.019088798788062064,Narrative Anchors
