character,audience_rating_range,audience_rating_std
Darth Vader,2.5817888799355355,1.402283151933268
Jar-Jar Binks,1.6063829787234043,0.8452626247876022
Emperor Palpatine,1.5256021511528122,0.7886712797753391
Boba Fett,1.1218409887474636,0.6231970343869748
Padme Amidala,1.027063567362429,0.524089713837721
C-3P0,0.6492311590416016,0.3246363155429552
Han Solo,0.6136997346054347,0.31851867673400386
Obi Wan Kenobi,0.5725081699346406,0.3269147060141537
Princess Leia Organa,0.49907235621521373,0.28792774437725027
R2-D2,0.4905212534905372,0.24537178202442478
Anakin Skywalker,0.47655416753503044,0.2390175728265536
Luke Skywalker,0.4461850693873082,0.25658819176708003
Yoda,0.40676486460747263,0.2048387036918698
Lando Calrissian,0.21728889671568163,0.11195451548334999
