character,cluster,mean_rating,mean_rating_overall,deviation
Jar-Jar Binks,1,3.5,2.848852732582395,0.6511472674176049
Emperor Palpatine,1,3.60352422907489,2.9563906462553065,0.6471335828195834
Darth Vader,1,3.9518900343642613,3.3194454828487907,0.6324445515154706
Obi Wan Kenobi,1,4.267361111111111,4.64477773196506,-0.3774166208539489
Han Solo,1,4.318339100346021,4.674508694481875,-0.3561695941358538
Darth Vader,2,4.294117647058823,3.3194454828487907,0.9746721642100327
Jar-Jar Binks,2,1.8936170212765957,2.848852732582395,-0.9552357113057994
Padme Amidala,2,3.1213235294117645,3.6952847079812687,-0.5739611785695042
Boba Fett,2,3.647482014388489,3.2433445363784017,0.4041374780100875
Han Solo,2,4.932038834951456,4.674508694481875,0.2575301404695809
Darth Vader,3,1.7123287671232876,3.3194454828487907,-1.607116715725503
Emperor Palpatine,3,2.0779220779220777,2.9563906462553065,-0.8784685683332287
Boba Fett,3,2.5256410256410255,3.2433445363784017,-0.7177035107373761
Padme Amidala,3,4.148387096774194,3.6952847079812687,0.45310238879292486
C-3P0,3,4.755760368663594,4.433263192761863,0.32249717590173166
