audience_cluster,character_rank,character,character_mean_rating
1,1,Yoda,4.460207612456747
1,2,R2-D2,4.341296928327645
1,3,Han Solo,4.318339100346021
1,4,Luke Skywalker,4.294915254237288
1,5,Obi Wan Kenobi,4.267361111111111
1,6,Princess Leia Organa,4.23469387755102
1,7,C-3P0,4.106529209621993
1,8,Anakin Skywalker,4.014760147601476
1,9,Darth Vader,3.951890034364261
1,10,Padme Amidala,3.816143497757848
1,11,Lando Calrissian,3.649350649350649
1,12,Emperor Palpatine,3.60352422907489
1,13,Boba Fett,3.5569105691056917
1,14,Jar-Jar Binks,3.5
2,1,Han Solo,4.932038834951456
2,2,Obi Wan Kenobi,4.839869281045751
2,3,Luke Skywalker,4.741100323624596
2,4,Princess Leia Organa,4.733766233766234
2,5,Yoda,4.621359223300971
2,6,R2-D2,4.599348534201955
2,7,C-3P0,4.4375
2,8,Darth Vader,4.294117647058823
2,9,Lando Calrissian,3.711191335740072
2,10,Boba Fett,3.647482014388489
2,11,Anakin Skywalker,3.5382059800664454
2,12,Emperor Palpatine,3.187725631768953
2,13,Padme Amidala,3.1213235294117645
2,14,Jar-Jar Binks,1.893617021276596
3,1,Yoda,4.86697247706422
3,2,R2-D2,4.831818181818182
3,3,Obi Wan Kenobi,4.827102803738318
3,4,Han Solo,4.773148148148148
3,5,C-3P0,4.755760368663594
3,6,Luke Skywalker,4.737556561085973
3,7,Princess Leia Organa,4.733031674208145
3,8,Padme Amidala,4.148387096774194
3,9,Anakin Skywalker,3.809045226130653
3,10,Lando Calrissian,3.4939024390243905
3,11,Jar-Jar Binks,3.152941176470588
3,12,Boba Fett,2.525641025641025
3,13,Emperor Palpatine,2.0779220779220777
3,14,Darth Vader,1.7123287671232876
