character,audience_rating_range,audience_rating_std,most_liked_audience_cluster,least_liked_audience_cluster
Darth Vader,2.5817888799355355,1.402283151933268,2,3
Jar-Jar Binks,1.606382978723404,0.845262624787602,1,2
Emperor Palpatine,1.5256021511528122,0.7886712797753391,1,3
Boba Fett,1.121840988747464,0.6231970343869752,2,3
Padme Amidala,1.027063567362429,0.524089713837721,3,2
C-3P0,0.6492311590416016,0.3246363155429552,3,1
Han Solo,0.6136997346054347,0.31851867673400386,2,1
Obi Wan Kenobi,0.5725081699346406,0.3269147060141537,2,1
Princess Leia Organa,0.49907235621521373,0.28792774437725027,2,1
R2-D2,0.4905212534905372,0.24537178202442478,3,1
Anakin Skywalker,0.47655416753503044,0.2390175728265536,1,2
Luke Skywalker,0.4461850693873082,0.25658819176708003,2,1
Yoda,0.40676486460747263,0.2048387036918698,3,1
Lando Calrissian,0.21728889671568163,0.11195451548334993,2,3
