character,character_segmentation_strength_f_statistic,character_segmentation_strength_p_value
Darth Vader,399.03035308460284,1.8231284604664003e-121
Jar-Jar Binks,124.51638191353688,4.515981090156429e-47
Han Solo,89.59426317173242,6.987987307358993e-36
Emperor Palpatine,78.01620847387615,4.064535227149532e-31
Obi Wan Kenobi,69.36915794012933,1.6035324548504533e-28
Boba Fett,63.429058414231925,5.636856724362025e-26
Padme Amidala,55.7864706420835,4.450338069055191e-23
Princess Leia Organa,48.64518478267493,1.0861193495409649e-20
Luke Skywalker,43.588907568010285,1.0177659038860135e-18
C-3P0,40.980587828670906,1.1150660542850769e-17
R2-D2,30.090825165434428,2.4582936708898075e-13
Yoda,20.144156095659888,2.8931124336343876e-09
Anakin Skywalker,12.65919138959396,3.8981776496041445e-06
Lando Calrissian,2.703627566970806,0.0676938513372973
