audience_cluster,category,count,share,demographic
1,Female,141,0.48788927335640137,gender
1,Male,148,0.5121107266435986,gender
2,Female,115,0.3770491803278688,gender
2,Male,190,0.6229508196721312,gender
3,Female,293,0.6482300884955752,gender
3,Male,159,0.35176991150442477,gender
1,18-29,70,0.2422145328719723,age_group
1,30-44,61,0.21107266435986158,age_group
1,45-60,89,0.3079584775086505,age_group
1,60+,69,0.23875432525951557,age_group
2,18-29,69,0.2262295081967213,age_group
2,30-44,98,0.32131147540983607,age_group
2,45-60,77,0.25245901639344265,age_group
2,60+,61,0.2,age_group
3,18-29,79,0.1747787610619469,age_group
3,30-44,109,0.2411504424778761,age_group
3,45-60,125,0.27654867256637167,age_group
3,60+,139,0.3075221238938053,age_group
1,Less than HS,0,0.0,education_level
1,High school,34,0.11888111888111888,education_level
1,Some college / Associate,101,0.3531468531468531,education_level
1,Bachelor’s,80,0.27972027972027974,education_level
1,Graduate,71,0.24825174825174826,education_level
2,Less than HS,2,0.006557377049180328,education_level
2,High school,24,0.07868852459016394,education_level
2,Some college / Associate,94,0.3081967213114754,education_level
2,Bachelor’s,105,0.3442622950819672,education_level
2,Graduate,80,0.26229508196721313,education_level
3,Less than HS,5,0.011235955056179775,education_level
3,High school,47,0.10561797752808989,education_level
3,Some college / Associate,133,0.298876404494382,education_level
3,Bachelor’s,136,0.3056179775280899,education_level
3,Graduate,124,0.2786516853932584,education_level
1,$0–24k,41,0.1673469387755102,household_income
1,$25–49k,62,0.2530612244897959,household_income
1,$50–99k,74,0.3020408163265306,household_income
1,$100–149k,50,0.20408163265306123,household_income
1,$150k+,18,0.07346938775510205,household_income
2,$0–24k,32,0.12749003984063745,household_income
2,$25–49k,50,0.199203187250996,household_income
2,$50–99k,94,0.3745019920318725,household_income
2,$100–149k,40,0.1593625498007968,household_income
2,$150k+,35,0.1394422310756972,household_income
3,$0–24k,65,0.17955801104972377,household_income
3,$25–49k,74,0.20441988950276244,household_income
3,$50–99k,130,0.35911602209944754,household_income
3,$100–149k,51,0.1408839779005525,household_income
3,$150k+,42,0.11602209944751381,household_income
