cluster,char_1,char_2,correlation,weight
1,Boba Fett,Emperor Palpatine,0.4822779609847452,0.8087135882497841
1,Boba Fett,Lando Calrissian,0.4088033236727236,0.6078937632485346
1,C-3P0,R2-D2,0.7119399934625136,0.2138009678736963
1,Han Solo,Luke Skywalker,0.5815260413580648,0.4743671442367275
1,Han Solo,Obi Wan Kenobi,0.5202711593469916,0.383602391550184
1,Han Solo,Princess Leia Organa,0.5550256715530747,0.35762830004153956
1,Han Solo,R2-D2,0.4370186782338894,0.4141733703531645
1,Han Solo,Yoda,0.4098751184779916,0.527152595485802
1,Luke Skywalker,Princess Leia Organa,0.6813346510284838,0.4058489137996657
1,Luke Skywalker,R2-D2,0.4813514353801578,0.42172519538406555
1,Luke Skywalker,Yoda,0.4452638868866179,0.5294041860873264
1,Obi Wan Kenobi,R2-D2,0.5236516705809307,0.41468267459033087
1,Obi Wan Kenobi,Yoda,0.4965915412163286,0.533673129057055
1,Princess Leia Organa,Yoda,0.4402906278191237,0.41350685424634603
1,R2-D2,Yoda,0.4977959554276958,0.6876350431180707
2,C-3P0,Han Solo,0.422290212772048,0.20872992233224114
2,C-3P0,R2-D2,0.7119399934625136,0.2233463186468873
2,Han Solo,Luke Skywalker,0.5815260413580648,0.49712640769370087
2,Han Solo,Obi Wan Kenobi,0.5202711593469916,0.5057933792815836
2,Han Solo,Princess Leia Organa,0.5550256715530747,0.46963752242034884
2,Han Solo,R2-D2,0.4370186782338894,0.3000165568395879
2,Han Solo,Yoda,0.4098751184779916,0.29209724918355556
2,Luke Skywalker,Obi Wan Kenobi,0.535990352235343,0.41182671567952306
2,Luke Skywalker,Princess Leia Organa,0.6813346510284838,0.4556426295332321
2,Luke Skywalker,R2-D2,0.4813514353801578,0.2611690144223083
2,Luke Skywalker,Yoda,0.4452638868866179,0.2507884553260433
2,Obi Wan Kenobi,Princess Leia Organa,0.5170696312333284,0.3932408502115865
2,Obi Wan Kenobi,R2-D2,0.5236516705809307,0.32310791328853494
2,Obi Wan Kenobi,Yoda,0.4965915412163286,0.3180790804852515
3,Boba Fett,Darth Vader,0.5082791236911346,1.2000700266638715
3,Boba Fett,Emperor Palpatine,0.4822779609847452,0.947424823692959
3,C-3P0,Luke Skywalker,0.5025452822018569,0.29410650461854954
3,C-3P0,R2-D2,0.7119399934625136,0.46293323157572974
3,C-3P0,Yoda,0.4403211294298028,0.29699056627825676
3,Darth Vader,Emperor Palpatine,0.5320666343673747,1.668782523502099
3,Han Solo,Luke Skywalker,0.5815260413580648,0.3471556853273489
3,Han Solo,Obi Wan Kenobi,0.5202711593469916,0.3433625789323379
3,Han Solo,Princess Leia Organa,0.5550256715530747,0.3295688988796564
3,Luke Skywalker,Obi Wan Kenobi,0.535990352235343,0.3394975053066957
3,Luke Skywalker,Princess Leia Organa,0.6813346510284838,0.3882844794609201
3,Obi Wan Kenobi,Princess Leia Organa,0.5170696312333284,0.3257666949956788
3,Obi Wan Kenobi,R2-D2,0.5236516705809307,0.36852558661927737
3,Obi Wan Kenobi,Yoda,0.4965915412163286,0.3625122036555261
3,R2-D2,Yoda,0.4977959554276958,0.3652179541678681
