character,audience_rating_range,audience_rating_std,character_mean_rating_divergence_across_clusters,narrative_role
Darth Vader,2.5817888799355355,1.402283151933268,1.7211925866236903,narrative_lightning_rod
Jar-Jar Binks,1.606382978723404,0.845262624787602,1.0709219858156027,narrative_lightning_rod
Emperor Palpatine,1.5256021511528122,0.7886712797753391,1.0170681007685414,narrative_lightning_rod
Boba Fett,1.121840988747464,0.6231970343869752,0.7478939924983093,narrative_lightning_rod
Padme Amidala,1.027063567362429,0.524089713837721,0.6847090449082861,contested_character
C-3P0,0.6492311590416016,0.3246363155429552,0.432820772694401,contested_character
Han Solo,0.6136997346054347,0.3185186767340038,0.4091331564036231,contested_character
Obi Wan Kenobi,0.5725081699346406,0.3269147060141537,0.3816721132897604,narrative_catalyst
Princess Leia Organa,0.4990723562152137,0.2879277443772502,0.3327149041434758,narrative_catalyst
R2-D2,0.4905212534905372,0.2453717820244247,0.3270141689936914,narrative_catalyst
Anakin Skywalker,0.4765541675350304,0.2390175728265536,0.317702778356687,narrative_consensus
Luke Skywalker,0.4461850693873082,0.25658819176708,0.2974567129248721,narrative_consensus
Yoda,0.4067648646074726,0.2048387036918698,0.2711765764049818,narrative_consensus
Lando Calrissian,0.2172888967156816,0.1119545154833499,0.144859264477121,background_supporting_character
