character,character_rating_range_across_clusters,character_mean_rating_divergence_across_clusters
Darth Vader,2.5817888799355355,1.7211925866236903
Jar-Jar Binks,1.606382978723404,1.0709219858156027
Emperor Palpatine,1.5256021511528122,1.0170681007685414
Boba Fett,1.121840988747464,0.7478939924983093
Padme Amidala,1.027063567362429,0.6847090449082861
C-3P0,0.6492311590416016,0.43282077269440106
Han Solo,0.6136997346054347,0.40913315640362313
Obi Wan Kenobi,0.5725081699346406,0.3816721132897604
Princess Leia Organa,0.49907235621521373,0.3327149041434758
R2-D2,0.4905212534905372,0.32701416899369146
Anakin Skywalker,0.47655416753503044,0.317702778356687
Luke Skywalker,0.4461850693873082,0.29745671292487214
Yoda,0.40676486460747263,0.2711765764049818
Lando Calrissian,0.21728889671568163,0.14485926447712108
